t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3,tip_x,tip_y,tip_z
0.186,-0.023198382077604288,0.09507315153144452,-0.19945005827806708,-0.2620263613973289,0.9644206549599353,-1.8222441705347285,-1.042261020832583,2.472509736545975,-1.3871632894631913,0.05521978776764279,0.0,0.5103466452768446
0.188,-0.02372818471691239,0.09701654005905348,-0.20310907478519583,-0.2649013196540516,0.9716942638044822,-1.8295082535643674,-1.0586835827956969,2.4870583074472097,-1.32434438188624,0.05616664131227176,0.0,0.5107351662695415
0.19,-0.024263702670875294,0.0989742201828121,-0.20678190663763432,-0.26775897698145196,0.9788400618793073,-1.8364159262192512,-1.0753238783910037,2.501273175131331,-1.2613935403911176,0.05711456678968243,0.0,0.5111324610007308
0.192,-0.024804900449547713,0.10094593381820965,-0.2104678383680461,-0.27059888933620907,0.9858568176987745,-1.8429658652058885,-1.0921812796363257,2.515154952745396,-1.1983228869951912,0.058063340034788025,0.0,0.511538538892215
0.194,-0.025351741695419282,0.10293142050759337,-0.21416615204754164,-0.2734206229357852,0.9927433446918557,-1.8491568397477656,-1.1092551267704378,2.5287042911520574,-1.1351445416063186,0.05901273713286021,0.0,0.5119534039309831
0.196,-0.025904189204204064,0.10493041751058763,-0.21787612747122373,-0.2762237543923918,0.999498501497128,-1.854987711841052,-1.1265447280914802,2.541921878209891,-1.071870619145291,0.05996253448404351,0.0,0.5123770546188156
0.198,-0.02646220494588272,0.10694265989504172,-0.22159704234414035,-0.27900787083932793,1.006121192227047,-1.8604574364583069,-1.144049359802957,2.554808438063114,-1.0085132266934596,0.06091250886769793,0.0,0.5128094839267132
0.2,-0.027025750085981712,0.10896788062844383,-0.2253281724675398,-0.2817725700494975,1.0126103667010533,-1.865565061699733,-1.161768265867557,2.5673647304415326,-0.9450844606671622,0.06186243750651596,0.0,0.5132506792541826
0.202,-0.02759478500707356,0.11100581066973808,-0.22906879192532303,-0.2845174605459236,1.0189650206471255,-1.8703097288916195,-1.1797006578690785,2.5795915499715134,-0.8815964040203776,0.06281209813035868,0.0,0.5137006223934546
0.20400000000000001,-0.028169269330481746,0.11305617906148097,-0.2328181732705864,-0.2872421617040926,1.025184195871442,-1.874690672631691,-1.1978457148827188,2.5914897254988176,-0.8180611234770363,0.06376126903975761,0.0,0.514159289498643
0.20600000000000002,-0.028749161938173694,0.11511871302227271,-0.23657558771214876,-0.2899463038459741,1.0312669803958698,-1.8787072207811788,-1.2162025833539691,2.6030601194239793,-0.7544906667944034,0.06470972916902823,0.0,0.5146266510598922
0.20800000000000002,-0.029334420994824844,0.11719313803939882,-0.2403403053009558,-0.29262952832557476,1.0372125085630537,-1.8823587944035116,-1.234770376986349,2.6143036270510094,-0.6908970600587541,0.06565725814894069,0.0,0.5151026718825278
0.21,-0.029925003970036647,0.11927917796161669,-0.24411159511625502,-0.29529148760590224,1.0430199611089346,-1.8856449076496131,-1.2535481766382544,2.625221175950058,-0.6272923050146209,0.06660363636889563,0.0,0.5155873110712328
0.212,-0.0305208676606911,0.12137655509202185,-0.24788872545143478,-0.2979318453272256,1.048688565202581,-1.8885651675898874,-1.2725350302290785,2.635813725334682,-0.5636883764287606,0.0675486450385504,0.0,0.5160805220192675
0.214,-0.031121968213424174,0.1234849902809284,-0.2516709639994209,-0.30055027636653775,1.0542175944532743,-1.8911192739930556,-1.291729952654869,2.646082265454318,-0.5000972194899305,0.06849206624884568,0.0,0.5165822524027224
0.216,-0.03172826114720045,0.1256042030186981,-0.2554575780375251,-0.30314646688813734,1.0596063688848476,-1.8933070190521029,-1.3111319257136969,2.6560278170025127,-0.43653074724550667,0.06943368303237821,0.0,0.5170924441798305
0.218,-0.032339701375970975,0.12773391152845276,-0.25924783461164047,-0.30572011438526536,1.0648542548773292,-1.8951282870576764,-1.3307398980409288,2.6656514305414043,-0.3730008380758689,0.07037327942307062,0.0,0.5176110335953062
0.22,-0.03295624323139647,0.12987383285860477,-0.26304100071967923,-0.3082709277127453,1.0699606650760058,-1.8965830540193667,-1.3505527850545969,2.674954185942947,-0.30951933320744196,0.0713106405150887,0.0,0.5181379511897132
0.222,-0.033577840485617655,0.1320236829751409,-0.26683634349415003,-0.310798627110593,1.0749250582680683,-1.8976713872353899,-1.3705694689110057,2.683937191847267,-0.24609803426519816,0.07224555252095428,0.0,0.518673121813847
0.224,-0.03420444637405481,0.13418317685359502,-0.27063313038377257,-0.3133029442185769,1.0797469392270644,-1.8983934448112711,-1.3907887984707428,2.6926015851385605,-0.18274870086533124,0.07317780282880904,0.0,0.5192164646480959
0.226,-0.03483601361821826,0.1363520285706459,-0.274430629334029,-0.3157836220817256,1.0844258585254387,-1.8987494751282152,-1.4112095892752516,2.700948530438823,-0.11948304824876299,0.07410718005878097,0.0,0.5197678932267592
0.228,-0.03547249444851185,0.13852995139527688,-0.27822810896655287,-0.31824041514679463,1.0889614123154858,-1.8987398162619293,-1.4318306235340494,2.7089792196197204,-0.05631274495603167,0.07503347411840697,0.0,0.5203273154672827
0.23,-0.0361138406270113,0.1407166578794351,-0.28202483875725837,-0.3206730892497214,1.093353242079109,-1.8983648953527439,-1.4526506501227527,2.716694871332825,0.0067505894558954616,0.07595647625706911,0.0,0.5208946337043815
0.232,-0.03676000347019952,0.14291185994812874,-0.28582008921311425,-0.3230814215941102,1.0976010343468157,-1.8976252279279522,-1.4736683845919867,2.724096730558407,0.06969538665449537,0.07687597911940017,0.0,0.5214697447289782
0.234,-0.037410933871641135,0.14511526898890162,-0.28961313204746897,-0.32546520072080737,1.1017045203864422,-1.8965214171773659,-1.4948825091872522,2.7311860681729154,0.13251013172990334,0.0777917767976184,0.0,0.5220525398319346
0.23600000000000002,-0.038066582324578414,0.14732659594062592,-0.29340324035383525,-0.3278242264686385,1.105663475862143,-1.8950541531831535,-1.5162916728798692,2.737964180535261,0.19518336535016578,0.07870366488274971,0.0,0.5226429048525004
0.23800000000000002,-0.03872689894443121,0.14954555138155437,-0.29718968877804547,-0.3301583099263973,1.109477720464232,-1.8932242121050973,-1.5378944914090136,2.7444323890919335,0.257703685873345,0.07961144051470147,0.0,0.5232407202314191
0.24,-0.03939183349118358,0.1517718456165754,-0.3009717536886904,-0.33246727337618737,1.1131471175105054,-1.8910324553224716,-1.5596895473349077,2.750592040000951,0.32005975141635057,0.08051490243114974,0.0,0.5238458610686235
